model,approach,acc,precision,recall,f1,auc,total_time,anomesdia_datetime
LogisticRegression,Treino 5 K-folds,0.7644,0.7324,0.6895,0.7042,0.8323,0.137,2020-12-27 12:39:59.023699
LogisticRegression,Teste,0.7692,0.7302,0.7077,0.7188,0.8626,0.012,2020-12-27 12:39:59.023699
DecisionTrees,Treino 5 K-folds,0.7675,0.8448,0.5452,0.6467,0.8106,0.07,2020-12-27 12:39:59.023699
DecisionTrees,Teste,0.7436,0.8378,0.4769,0.6078,0.7944,0.005,2020-12-27 12:39:59.023699
RandomForest,Treino 5 K-folds,0.8173,0.8722,0.6507,0.7417,0.8467,14.505,2020-12-27 12:39:59.023699
RandomForest,Teste,0.7949,0.8367,0.6308,0.7193,0.8572,0.092,2020-12-27 12:39:59.023699
