model,approach,mae,mse,rmse,r2,total_time,anomesdia_datetime
LinearRegression,Treino 5 K-folds,22203.992,3542945423.479,51586.151,0.465,1.054,2021-01-23 15:57:24.809683
LinearRegression,Teste,21229.097,1321125761.713,36347.294,0.828,0.002,2021-01-23 15:57:24.809683
DecisionTreeRegressor,Treino 5 K-folds,27188.975,2115726573.709,45340.38,0.662,0.571,2021-01-23 15:57:24.809683
DecisionTreeRegressor,Teste,27757.38,1845254577.086,42956.426,0.759,0.002,2021-01-23 15:57:24.809683
RandomForestRegressor,Treino 5 K-folds,18182.715,996583540.313,31206.06,0.837,29.051,2021-01-23 15:57:24.809683
RandomForestRegressor,Teste,18089.658,904980164.242,30082.888,0.882,0.041,2021-01-23 15:57:24.809683
