model,approach,acc,precision,recall,f1,auc,total_time,anomesdia_datetime
LogisticRegression,Treino 5 K-folds,0.9046,0.7652,0.5846,0.6625,0.9261,4.708,2020-12-25 21:07:24.292084
LogisticRegression,Teste,0.8978,0.7609,0.5352,0.6284,0.9168,0.017,2020-12-25 21:07:24.292084
DecisionTrees,Treino 5 K-folds,0.9404,0.8257,0.7977,0.8111,0.9105,0.891,2020-12-25 21:07:24.292084
DecisionTrees,Teste,0.9363,0.7964,0.8135,0.8048,0.9165,0.007,2020-12-25 21:07:24.292084
RandomForest,Treino 5 K-folds,0.9558,0.9346,0.7792,0.8497,0.988,28.65,2020-12-25 21:07:24.292084
RandomForest,Teste,0.9487,0.9176,0.7492,0.8249,0.9878,0.075,2020-12-25 21:07:24.292084
