iter	RMSE
0	0.3797888164
1	0.3701965426
2	0.3604763859
3	0.3508599575
4	0.3422766553
5	0.334164739
6	0.3265114685
7	0.3192373278
8	0.3120408332
9	0.3051266616
10	0.2986210211
11	0.2931528011
12	0.2868001108
13	0.2806853237
14	0.2746017986
15	0.2691774885
16	0.2635728714
17	0.2581859039
18	0.2527167011
19	0.2478861376
20	0.2437327363
21	0.2394238394
22	0.2351825707
23	0.2312719807
24	0.2272888117
25	0.2241163977
26	0.2202355255
27	0.2167116829
28	0.2131140922
29	0.2096925986
30	0.206620028
31	0.2035503402
32	0.2005729767
33	0.1980229914
34	0.1951923576
35	0.1923502555
36	0.1897803105
37	0.1875519183
38	0.1851774966
39	0.1829879097
40	0.1810271839
41	0.1787277021
42	0.176722628
43	0.1748564141
44	0.1732152169
45	0.1713048427
46	0.1693570803
47	0.16779384
48	0.1662446548
49	0.1644419272
50	0.1629368468
51	0.1613704831
52	0.159833631
53	0.1586362269
54	0.1571850736
55	0.1557316948
56	0.1546010554
57	0.1533293135
58	0.1519374173
59	0.1508219061
60	0.1496665257
61	0.148625811
62	0.1475327851
63	0.1464192226
64	0.1452288135
65	0.1440666681
66	0.1430663755
67	0.1420796238
68	0.1410509754
69	0.1400452921
70	0.1391273283
71	0.1382471824
72	0.1374552823
73	0.1365701643
74	0.1358447409
75	0.1350927627
76	0.1342826678
77	0.1335124871
78	0.1327615181
79	0.1320136243
80	0.1311651733
81	0.1303543434
82	0.1297143081
83	0.1288850348
84	0.1281990042
85	0.1276861741
86	0.1271190976
87	0.1265945319
88	0.1259463767
89	0.1252680122
90	0.1246672998
91	0.1242106936
92	0.1236605272
93	0.12309713
94	0.122649493
95	0.1220132867
96	0.1214676656
97	0.1208878277
98	0.1205603776
99	0.1197929595
100	0.1194109394
101	0.1188292156
102	0.1182887413
103	0.1178961848
104	0.1174231789
105	0.116949316
106	0.1165676858
107	0.1160415359
108	0.1155539528
109	0.1150037499
110	0.1145609718
111	0.1142521099
112	0.1138858314
113	0.1134299208
114	0.1131296092
115	0.1127810428
116	0.1124003151
117	0.1120893986
118	0.1117394143
119	0.1115028111
120	0.1112183851
121	0.1108321907
122	0.1103910887
123	0.1099647947
124	0.1096753936
125	0.1094228749
126	0.109036991
127	0.1085869799
128	0.1083008536
129	0.1079942317
130	0.1076628014
131	0.1074947789
132	0.1072124555
133	0.1068731819
134	0.1067946635
135	0.1063640488
136	0.1060335869
137	0.1056916861
138	0.1054391114
139	0.1051067318
140	0.1048788423
141	0.1046576571
142	0.1043564298
143	0.1041433621
144	0.1038149203
145	0.1036033202
146	0.1034638076
147	0.1032551534
148	0.1029445008
149	0.1026307132
150	0.1024087919
151	0.1022180025
152	0.1020580187
153	0.1016659454
154	0.1013433078
155	0.1010016482
156	0.1007098994
157	0.1004586329
158	0.1001821481
159	0.09997003549
160	0.0998455654
161	0.09974357613
162	0.09955149564
