iter	Passed	Remaining
320	1442	3050
321	1445	3043
322	1449	3038
323	1456	3038
324	1459	3031
325	1463	3025
326	1468	3022
327	1472	3016
328	1476	3010
329	1479	3003
330	1485	3001
331	1488	2995
332	1492	2989
333	1497	2986
334	1505	2988
335	1510	2984
336	1519	2988
337	1522	2982
338	1526	2975
339	1534	2978
340	1537	2971
341	1541	2965
342	1547	2963
343	1551	2958
344	1554	2951
345	1558	2945
346	1566	2948
347	1570	2942
348	1573	2935
349	1579	2932
350	1583	2927
351	1586	2920
352	1589	2914
353	1596	2914
354	1600	2908
355	1603	2901
356	1607	2895
357	1614	2894
358	1617	2887
359	1621	2882
360	1626	2878
361	1630	2874
362	1634	2867
363	1637	2861
364	1643	2860
365	1648	2854
366	1651	2848
367	1655	2842
368	1660	2838
369	1663	2832
370	1667	2826
371	1671	2821
372	1676	2817
373	1679	2811
374	1683	2805
375	1688	2802
376	1692	2797
377	1696	2791
378	1699	2784
379	1705	2783
380	1708	2776
381	1712	2769
382	1715	2763
383	1722	2763
384	1726	2757
385	1729	2751
386	1732	2745
387	1739	2744
388	1743	2738
389	1746	2732
390	1752	2729
391	1756	2724
392	1759	2717
393	1762	2711
394	1767	2707
395	1772	2703
396	1776	2698
397	1780	2692
398	1791	2698
399	1795	2693
400	1801	2690
401	1804	2684
402	1808	2678
403	1811	2672
404	1817	2670
405	1821	2664
406	1824	2658
407	1827	2652
408	1834	2650
409	1839	2646
410	1842	2640
411	1849	2638
412	1852	2633
413	1856	2627
414	1859	2621
415	1865	2619
416	1869	2613
417	1872	2607
418	1876	2601
419	1882	2599
420	1885	2593
421	1889	2587
422	1894	2584
423	1898	2578
424	1901	2572
425	1905	2566
426	1910	2564
427	1914	2558
428	1917	2552
429	1921	2546
430	1926	2543
431	1930	2538
432	1933	2532
433	1937	2526
434	1943	2524
435	1947	2519
436	1950	2513
437	1954	2507
438	1960	2505
439	1964	2499
440	1967	2494
441	1973	2491
442	1979	2489
443	1983	2483
444	1991	2483
445	1995	2478
446	2000	2474
447	2004	2469
448	2008	2465
449	2012	2459
450	2016	2454
451	2023	2453
452	2026	2447
453	2030	2441
454	2036	2439
455	2041	2434
456	2044	2429
457	2048	2423
458	2054	2421
459	2058	2415
460	2061	2410
461	2065	2404
462	2072	2404
463	2076	2398
464	2079	2392
465	2086	2390
466	2089	2384
467	2092	2378
468	2096	2373
469	2101	2370
470	2105	2364
471	2109	2359
472	2112	2353
473	2117	2350
474	2121	2344
475	2124	2338
476	2128	2333
477	2134	2330
478	2137	2325
479	2141	2319
480	2145	2315
481	2151	2311
482	2156	2307
483	2160	2303
484	2167	2301
485	2171	2296
486	2178	2294
487	2183	2291
488	2187	2285
489	2190	2280
490	2195	2276
491	2199	2271
492	2203	2265
493	2206	2260
494	2211	2255
495	2215	2251
496	2218	2245
497	2223	2241
498	2229	2238
499	2233	2233
500	2237	2228
501	2243	2225
502	2247	2220
503	2250	2214
504	2254	2209
505	2260	2206
506	2264	2201
507	2267	2195
508	2270	2190
509	2277	2187
510	2280	2182
511	2284	2176
512	2289	2173
513	2293	2168
514	2297	2163
515	2300	2158
516	2306	2154
517	2310	2149
518	2313	2144
519	2317	2138
520	2323	2136
521	2327	2131
522	2331	2126
523	2334	2120
524	2340	2118
525	2344	2112
526	2347	2107
527	2351	2101
528	2358	2100
529	2363	2095
530	2366	2090
531	2375	2089
532	2382	2087
533	2388	2084
534	2391	2078
535	2395	2073
536	2399	2069
537	2404	2064
538	2407	2059
539	2411	2054
540	2418	2051
541	2421	2046
542	2425	2041
543	2428	2035
544	2434	2032
545	2438	2027
546	2441	2022
547	2445	2016
548	2451	2014
549	2455	2008
550	2458	2003
551	2465	2000
552	2468	1995
553	2472	1990
554	2476	1985
555	2484	1983
556	2487	1978
557	2491	1973
558	2497	1970
559	2501	1965
560	2504	1960
561	2508	1954
562	2513	1950
563	2517	1945
564	2520	1940
565	2523	1935
566	2530	1932
567	2533	1927
568	2537	1921
569	2540	1916
570	2547	1913
571	2550	1908
572	2554	1903
573	2559	1899
574	2563	1894
575	2567	1889
576	2572	1886
577	2586	1888
578	2595	1887
579	2600	1883
580	2604	1878
581	2609	1874
582	2615	1870
583	2618	1865
584	2624	1861
585	2627	1856
586	2631	1851
587	2634	1845
588	2640	1842
589	2643	1836
590	2646	1831
591	2649	1826
592	2656	1823
593	2660	1818
594	2663	1813
595	2667	1807
596	2673	1804
597	2676	1799
598	2680	1794
599	2684	1789
600	2689	1785
601	2693	1780
602	2696	1775
603	2701	1771
604	2706	1766
605	2709	1761
606	2712	1756
607	2718	1752
608	2722	1747
609	2726	1742
610	2729	1737
611	2735	1734
612	2739	1729
613	2743	1724
614	2746	1719
615	2751	1715
616	2755	1710
617	2759	1705
618	2763	1700
619	2767	1696
620	2771	1691
621	2774	1686
622	2778	1681
623	2784	1677
624	2787	1672
625	2790	1667
626	2794	1662
627	2800	1658
628	2803	1653
629	2808	1649
630	2814	1645
631	2818	1640
632	2821	1635
633	2825	1630
634	2832	1627
635	2835	1622
636	2840	1618
637	2844	1614
638	2849	1609
639	2853	1605
640	2858	1601
641	2864	1597
642	2868	1592
643	2871	1587
644	2878	1584
645	2881	1579
646	2885	1574
647	2888	1569
648	2894	1565
649	2898	1560
650	2901	1555
651	2906	1551
652	2912	1547
653	2918	1543
654	2926	1541
655	2931	1537
656	2936	1533
657	2942	1529
658	2946	1524
659	2949	1519
660	2955	1515
661	2959	1510
662	2962	1505
663	2966	1501
664	2970	1496
665	2975	1492
666	2979	1487
667	2982	1482
668	2990	1479
669	2993	1474
670	2996	1469
671	3000	1464
672	3006	1461
673	3010	1456
674	3014	1451
675	3019	1447
676	3023	1442
677	3026	1437
678	3030	1432
679	3036	1428
680	3039	1423
681	3042	1418
682	3046	1413
683	3051	1409
684	3055	1405
685	3058	1400
686	3062	1395
687	3068	1391
688	3072	1386
689	3075	1381
690	3078	1376
691	3084	1373
692	3088	1368
693	3091	1363
694	3097	1359
695	3101	1354
696	3105	1349
697	3108	1344
698	3114	1340
699	3117	1336
700	3121	1331
701	3124	1326
702	3129	1322
703	3133	1317
704	3137	1312
705	3140	1307
706	3150	1305
707	3155	1301
708	3161	1297
709	3167	1293
710	3173	1289
711	3180	1286
712	3184	1281
713	3187	1276
714	3195	1273
715	3200	1269
716	3203	1264
717	3208	1260
718	3214	1256
719	3218	1251
720	3221	1246
721	3226	1242
722	3230	1237
723	3233	1232
724	3238	1228
725	3243	1223
726	3246	1219
727	3250	1214
728	3253	1209
729	3259	1205
730	3263	1200
731	3267	1196
732	3273	1192
733	3277	1187
734	3281	1183
735	3284	1178
736	3292	1174
737	3295	1170
738	3300	1165
739	3306	1161
740	3309	1156
741	3313	1152
742	3318	1147
743	3322	1143
744	3326	1138
745	3330	1134
746	3339	1130
747	3343	1126
748	3348	1122
749	3354	1118
750	3358	1113
751	3362	1108
752	3366	1104
753	3371	1099
754	3375	1095
755	3378	1090
756	3384	1086
757	3390	1082
758	3393	1077
759	3399	1073
760	3403	1068
761	3406	1064
762	3410	1059
763	3415	1055
764	3419	1050
765	3423	1045
766	3426	1040
767	3432	1036
768	3435	1031
769	3438	1027
770	3442	1022
771	3447	1018
772	3450	1013
773	3454	1008
774	3457	1003
775	3465	1000
776	3468	995
777	3472	990
778	3477	986
779	3482	982
780	3485	977
781	3489	972
782	3497	969
783	3501	964
784	3504	959
785	3511	955
786	3514	951
787	3518	946
788	3529	943
789	3537	940
790	3549	937
791	3553	933
792	3560	929
793	3564	924
794	3567	919
795	3571	915
796	3577	911
797	3581	906
798	3585	902
799	3591	897
800	3595	893
801	3599	888
802	3604	884
803	3608	879
804	3612	875
805	3616	870
806	3621	866
807	3625	861
808	3629	856
809	3632	852
810	3639	848
811	3642	843
812	3646	838
813	3649	833
814	3655	829
815	3659	825
816	3663	820
817	3669	816
818	3674	812
819	3678	807
820	3681	802
821	3687	798
822	3691	793
823	3694	789
824	3700	784
825	3704	780
826	3707	775
827	3711	770
828	3715	766
829	3722	762
830	3725	757
831	3729	752
832	3737	749
833	3742	744
834	3748	740
835	3752	736
836	3755	731
837	3759	726
838	3766	722
839	3769	718
840	3773	713
841	3776	708
842	3785	705
843	3789	700
844	3792	695
845	3798	691
846	3802	686
847	3806	682
848	3810	677
849	3815	673
850	3818	668
851	3822	663
852	3827	659
853	3831	655
854	3834	650
855	3838	645
856	3843	641
857	3848	636
858	3852	632
859	3855	627
860	3860	623
861	3863	618
862	3867	613
863	3870	609
864	3875	604
865	3879	600
866	3883	595
867	3886	591
868	3893	586
869	3897	582
870	3900	577
871	3903	573
872	3909	568
873	3913	564
874	3916	559
875	3920	554
876	3926	550
877	3930	546
878	3933	541
879	3941	537
880	3946	533
881	3951	528
882	3957	524
883	3961	519
884	3964	515
885	3971	511
886	3976	506
887	3981	502
888	3986	497
889	3992	493
890	3997	488
891	4003	484
892	4011	480
893	4018	476
894	4023	472
895	4026	467
896	4030	462
897	4036	458
898	4039	453
899	4043	449
900	4046	444
901	4053	440
902	4056	435
903	4059	431
904	4066	426
905	4069	422
906	4073	417
907	4076	413
908	4084	408
909	4087	404
910	4091	399
911	4094	395
912	4100	390
913	4104	386
914	4107	381
915	4113	377
916	4118	372
917	4122	368
918	4126	363
919	4132	359
920	4136	354
921	4139	350
922	4147	345
923	4151	341
924	4155	336
925	4167	333
926	4170	328
927	4174	323
928	4181	319
929	4185	315
930	4188	310
931	4196	306
932	4199	301
933	4202	296
934	4207	292
935	4211	287
936	4215	283
937	4219	278
938	4223	274
939	4227	269
940	4231	265
941	4234	260
942	4241	256
943	4245	251
944	4249	247
945	4253	242
946	4259	238
947	4263	233
948	4266	229
949	4273	224
950	4278	220
951	4281	215
952	4285	211
953	4291	206
954	4296	202
955	4299	197
956	4308	193
957	4313	189
958	4318	184
959	4323	180
960	4327	175
961	4330	171
962	4335	166
963	4340	162
964	4343	157
965	4347	153
966	4352	148
967	4357	144
968	4360	139
969	4364	134
970	4371	130
971	4375	126
972	4379	121
973	4385	117
974	4388	112
975	4392	108
976	4396	103
977	4401	99
978	4405	94
979	4408	89
980	4412	85
981	4418	80
982	4421	76
983	4425	71
984	4428	67
985	4434	62
986	4437	58
987	4442	53
988	4448	49
989	4452	44
990	4455	40
991	4459	35
992	4464	31
993	4467	26
994	4471	22
995	4475	17
996	4480	13
997	4484	8
998	4488	4
999	4494	0
